References:	 ['ElMiron', 'Mota', 'Ust_Ishim', 'Kostenki14', 'GoyetQ116-1', 'Vestonice16', 'MA1', 'Villabruna', 'EHG', 'CHG', 'Natufian', 'Greece_N', 'Levant_N']
target	feasible	Anatolia_N	Armenia_ChL	Steppe_MLBA	Tunisia_N	Megiddo_MLBA_original	prob	nested-p	nested_p_with_Anatolia_N	nested_p_with_Armenia_ChL	nested_p_with_Steppe_MLBA	nested_p_with_Tunisia_N	nested_p_with_Megiddo_MLBA_original	valid
Birgi_176	False	0	0.402	0	-0.061	0.660	8.97223e-09	3.390354663679318e-11	6.433642507630566e-11	0	7.419416891973896e-08	0	0	False
Birgi_176	False	0	0	0.249	-0.079	0.830	6.90695e-06	8.759867187180248e-08	1.4140057569278497e-08	0.00027433045964708747	0	0	0	False
Birgi_176	True	0.612	0.388	0	0	0	0.0591528	0.02429726548429112	0	0	0.005392114612812748	0.5154438858348478	0.2577131849984269	True
Birgi_176	True	0.735	0	0.263	0	0	0.272047	0.3036705182301578	0	0.16076665540828727	0	0.2899184539425699	0.08019230251622345	True
Birgi_176	True	0.942	0	0	0.058	0	7.50665e-09	5.409628300867553e-11	0	1.0074208134369655e-10	3.695044270557446e-12	0	0.26240959625922133	False
Birgi_176	False	-7.939	0	0	0	8.939	0	0.0	0	0.0	0.0	0.0	0	False
Birgi_176	False	0	1.376	-0.376	0	0	1.70593e-14	0.0	0.0	0	0	1.0	1.0	False
Birgi_176	True	0	0.930	0	0.070	0	1.18399e-18	0.0	0.0	0	0.1085641016533605	0	3.276268145668837e-13	False
Birgi_176	True	0	0.448	0	0	0.552	2.38255e-09	1.4591661212648432e-11	1.6605494757016004e-11	0	1.0	0.021946771003246823	0	False
Birgi_176	True	0	0	0.697	0.303	0	0	0.0	0.0	0.0	0	0	0.0	False
Birgi_176	True	0	0	0.260	0	0.740	9.66327e-07	1.5363871175289034e-08	5.003233383149563e-10	1.0	0	0.009380024261102182	0	False
Birgi_176	False	0	0	0	-0.106	1.106	1.22119e-14	0.0	2.0443193027297468e-08	1.0341378864353601e-08	3.319788888234143e-12	0	0	False
Birgi_176	True	1.000	0	0	0	0	3.40065e-09	3.611022592053814e-11	0	1.63113966777928e-11	8.574252419180084e-13	0.04587985935753158	1.0	False
